community_id,city,state
582,Long Beach,CA
953,Brookline,MA
123,Newton Lower Falls,MA
14,Acton,MA
728,Lincoln,NE
4446,Brush Prairie,WA
1037,Lancaster,PA
6405,Monroe,OH
16509,Valley City,ND
2964,Noblesville,IN
268,Jacksonville,FL
237,Framingham,MA
540,Toronto,ON
6680,Darlington,SC
1541,Simi Valley,CA
1568,Nokomis,FL
6328,Grande Prairie,AB
1344,Longwood,FL
7043,Oakville,ON
963,Chattanooga,TN
2353,Lake Worth,FL
3348,Rockford,IL
4238,El Cajon,CA
6937,Baldwin,WI
6566,Taos,NM
615,Naperville,IL
4911,Cambridge,ON
3948,Molalla,OR
3316,Fresno,CA
5162,Austin,TX
864,Spokane,WA
295,Omaha,NE
2509,Elmhurst,NY
1018,Arlington,MA
2626,Whittier,CA
4067,Bandera,TX
6252,Port Moody,BC
2861,Solana Beach,CA
1920,Rockville,MD
2476,Edmonton,AB
558,Salt Lake City,UT
8398,Dundalk,MD
2015,Glenview,IL
1747,Murfreesboro,TN
509,Las Vegas,NV
10958,Rockmart,GA
7472,Lapeer,MI
4085,Concord,NC
2259,Rocklin,CA
5923,Bloomington,IN
8881,Kitchener,ON
538,Vancouver,BC
2627,Covina,CA
287,Mount Laurel,NJ
4051,Phoenixville,PA
120,Minneapolis,MN
2375,Eugene,OR
4068,Kent,WA
13140,Maumelle,AR
1501,Helena,MT
2684,Uniondale,NY
9880,Feasterville Trevose,PA
9229,Reedsburg,WI
2397,Saint Albans,NY
5141,Kenner,LA
132,Miami,FL
3922,Sioux Falls,SD
241,North Kingstown,RI
7398,Aurora,ON
8951,Bolton,ON
2087,Vero Beach,FL
1261,Reno,NV
3489,New York,NY
1569,Fort Collins,CO
3851,Danbury,CT
3930,Horsham,PA
488,Portland,OR
126,Lakewood,CA
7035,Nanaimo,BC
2234,Ventura,CA
9488,Alamogordo,NM
808,Orlando,FL
1861,Wake Forest,NC
4468,Gainesville,VA
383,Tarzana,CA
959,Concord,NH
564,Torrance,CA
554,Seattle,WA
2605,Denton,TX
5909,Fort Wayne,IN
688,El Paso,TX
1973,Crystal Lake,IL
3434,Wayne,PA
1970,Potomac,MD
16529,Waseca,MN
251,Los Angeles,CA
232,Lombard,IL
610,Conroe,TX
355,Atlantic City,NJ
9320,Monroe,MI
6666,Hutchinson,MN
1041,Cleveland,OH
16301,Glenwood,MN
637,Irvine,CA
3277,Midlothian,VA
2456,Palm Beach Gardens,FL
10568,Port Royal,SC
399,Humble,TX
8016,Jacksonville,NC
20292,Bruce,WI
3498,New York,NY
1906,West Des Moines,IA
1750,Flagstaff,AZ
1609,La Mesa,CA
8246,Metcalfe,ON
1867,Commerce City,CO
1979,Arlington Heights,IL
12467,Great Mills,MD
6424,Boiling Springs,SC
12794,Montesano,WA
283,Tualatin,OR
1017,Boise,ID
2699,Katy,TX
1986,Mira Loma,CA
2557,Loveland,CO
5704,Fort Erie,ON
5938,Saint George,UT
667,Sherman Oaks,CA
8945,Yorkton,SK
5630,Belchertown,MA
6201,Huffman,TX
20253,Interlochen,MI
177,Little Rock,AR
4182,Draper,UT
1917,Waynesville,NC
309,Medicine Hat,AB
6222,Concord,ON
240,Brooklyn,NY
216,Braintree,MA
1883,Forest Park,IL
8968,Laval,QC
1657,Twin Lakes,WI
1007,Santa Monica,CA
186,Madison,WI
115,Philadelphia,PA
428,Silver Spring,MD
4823,Burnt Hills,NY
212,Henderson,NV
2031,Swannanoa,NC
1477,Sierra Vista,AZ
974,Mesa,AZ
2915,Apopka,FL
1339,Greer,SC
2038,Elk Grove Village,IL
112,Chicago,IL
874,Charlotte,NC
