cbid,customer_location_name,customer_type_name
5ae0edf771878c8736d9f6f12ec92cc9ab3a34364fe52d2dcfcbf859dfc27363,regional,consumers
542d32a698383bb899e373c2a9fcff00d4fb07bdec8fdbab16b3822b53bedcea,regional,businesses
aaf4754b91ea453e2ca4b476635672f287f4be31f4a78fa2556c98249d1e68ed,local,consumers
0befe1bb555bf327d3d8167dcf2e395641236ccdcc38e24892a09c237b50afb4,none,none
6c47ebaa728b349cc51e0c2e4ca6a9b2014229a1c66eec6686edd84162a02f94,local,consumers
71bfde5c5a884fcab9b2a72c58e7f91bcf3d6dd20921b10ed690a955e3c673c7,national,businesses
f40e1b05f81a405c97502212ee4dc0ca3fb7409b7252c49801ba64aa0f8524af,local,businesses
5885fd45f03388ae4fb2f36daf77330819371edd51125d896ff58fe0cf26e3da,local,consumers
a42be73cbc9cb5d6ddfdb8921d4fb382fdef0667222bdc9fb314ea32f25496bc,national,consumers
9787e3d3b67e535aa5ae5aa5f9f88ebf89355c22a553b511d7fd949e065a4543,national,businesses
b46f7cf1dc2c65bea7d91ce9559c4355929d547713b1405cbdfe0eba8870d4d4,local,consumers
3bdb029ad970ebb3be8dcf610e7f421fbf3de3d0ec986be07865c6f01c1842ff,none,businesses
5896c4f66b5450884d3e815042debf5bf2d4b15bae4baf0c52a23436d5bb01aa,regional,consumers
0ba61c6d3620afa78726b00a9be56cb68a896ea3eab26a1238f3082e69db8912,none,none
23bebf5f43921d16439cae856bc3edbe68f84692a440066736c87a2cc26a8386,national,businesses
e52ead83ece4805d0c5e21a013f7ed19a969293f1e7ce3ab3c185aaeca167014,national,consumers
744b8271ed8ca9ce8e1e9edda1536aafcc788fbe625c44eb35bfcfa9eefa8e3a,regional,businesses
47217ff445ee7b6a0021555947d9cc559d040591b5c357af4faababb5eb5ae9d,local,consumers
6d74d344c1b7db13b6acef1fb4471026d9a56a1a8b4ed74951a0040aa54317c1,local,consumers
21e70cd6cef21e669b7c296a76b54a7ce21cf16eb26f7df9e0b62af9d6e61b3b,local,consumers
46871f399834dc30ef8e461438fad535cba2ca032ec09200fdf79b44b9cc0c51,local,consumers
18002572c4da3b697e772fd5c6af22aaf101cbc68e693bfc01a4d8987d6a5bcc,national,businesses
7965cbbcb4ecc9f3283430d9d7805d95fee7773ba2c3dba76b7480fb16af2903,local,consumers
dcfff2e8db2c5749864d9021fe3c3b7e914231f0f10e38a453ffdd9f4c7dc7ad,local,consumers
3ebf7099fe8498d2f7ada3c4b46044222b20aece50663e366b8a574eaf2d84c2,local,consumers
6d4e96dab295a72c12dcee1f503695a40ba76d90dbf4bc78520e8bbbad4608d3,national,businesses
5845bc3dde442b7ff0306b2a09c9e3407ba4b458219df720332282cd823c3294,none,none
e40e02492d66f3d7fc3c1fe18aec3f2ca4cfc1c29352d4ac63796cd7bc3dfea2,national,businesses
2990dd1fcd2226ecd2830e9155fb11ea9f48dfaee3e1b432564a92776b957e21,local,consumers
6994e1aac6075ce9ea6e527c9400bd08206cbccf4e1ad6ddba56a50448a5965b,local,consumers
